date,company,ticker,open,high,low,close,adj_close,volume,daily_return,peer_avg_return,abnormal_return,event_id,event_day,event0_date,group,member,event_category,event_subtype,event_title_en,start_date,peak_date,end_date,sentiment_expected,severity_score,duration_days,source_level,event_type_final
2024-04-04,HYBE,352820.KS,225000.0,225500.0,220500.0,221000.0,220497.984375,173764,-0.0133927978414134,-0.021855990932925767,0.008463193091512366,LESSERAFIM_20240413_COACHELLA_CRITICISM,-6,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-05,HYBE,352820.KS,220000.0,228000.0,218500.0,224000.0,223491.15625,204395,0.0135745997111227,0.011633356364162068,0.0019412433469606326,LESSERAFIM_20240413_COACHELLA_CRITICISM,-5,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-08,HYBE,352820.KS,224500.0,226500.0,217000.0,217000.0,216507.0625,187961,-0.0312499781520997,-0.011085505169100401,-0.020164472982999296,LESSERAFIM_20240413_COACHELLA_CRITICISM,-4,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-09,HYBE,352820.KS,218500.0,224500.0,216000.0,216500.0,216008.203125,109649,-0.0023041251829833,-0.0199644841538869,0.0176603589709036,LESSERAFIM_20240413_COACHELLA_CRITICISM,-3,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-11,HYBE,352820.KS,213500.0,217000.0,207500.0,216500.0,216008.203125,206335,0.0,-0.007721354690496833,0.007721354690496833,LESSERAFIM_20240413_COACHELLA_CRITICISM,-2,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-12,HYBE,352820.KS,214500.0,220000.0,211500.0,213000.0,212516.15625,169941,-0.0161662697271696,-0.0049746561183686006,-0.011191613608800999,LESSERAFIM_20240413_COACHELLA_CRITICISM,-1,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-15,HYBE,352820.KS,210500.0,215500.0,208000.0,214500.0,214012.75,104498,0.0070422586988607,-0.0072342818573239666,0.014276540556184667,LESSERAFIM_20240413_COACHELLA_CRITICISM,0,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-16,HYBE,352820.KS,214500.0,223000.0,212000.0,223000.0,222493.4375,241597,0.0396270198854975,-0.009538544684974032,0.04916556457047153,LESSERAFIM_20240413_COACHELLA_CRITICISM,1,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-17,HYBE,352820.KS,220500.0,225000.0,219000.0,219000.0,218502.53125,168906,-0.0179371863495974,-0.012142323510091068,-0.005794862839506332,LESSERAFIM_20240413_COACHELLA_CRITICISM,2,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-18,HYBE,352820.KS,220000.0,230500.0,220000.0,228500.0,227980.9375,260678,0.0433789311079204,0.0301575675645865,0.013221363543333899,LESSERAFIM_20240413_COACHELLA_CRITICISM,3,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-19,HYBE,352820.KS,227500.0,232000.0,221500.0,230500.0,229976.390625,234688,0.0087527191829359,0.013005305565056169,-0.004252586382120269,LESSERAFIM_20240413_COACHELLA_CRITICISM,4,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-22,HYBE,352820.KS,233500.0,238500.0,206000.0,212500.0,212017.28125,1044009,-0.07809110024813,0.026846827633759368,-0.10493792788188937,LESSERAFIM_20240413_COACHELLA_CRITICISM,5,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-23,HYBE,352820.KS,209000.0,212500.0,202500.0,210000.0,209522.984375,1096822,-0.0117645923025437,0.02306461489680157,-0.03482920719934527,LESSERAFIM_20240413_COACHELLA_CRITICISM,6,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
