date,company,ticker,open,high,low,close,adj_close,volume,daily_return
2021-06-16,SM,041510.KQ,51500.0,52100.0,50000.0,51400.0,48918.046875,1055855,0.007843104116392219
2021-06-17,SM,041510.KQ,51200.0,55600.0,51000.0,55000.0,52344.21484375,2086696,0.0700389362949192
2021-06-18,SM,041510.KQ,56400.0,58100.0,53900.0,54800.0,52153.875,2216234,-0.0036363109909695046
2021-06-21,SM,041510.KQ,52600.0,55300.0,52600.0,53300.0,50726.3046875,969835,-0.02737227698804734
2021-06-22,SM,041510.KQ,53600.0,54800.0,52300.0,54000.0,51392.50390625,888152,0.013133210133364326
2021-06-23,SM,041510.KQ,54500.0,58600.0,54200.0,55700.0,53010.4140625,2271792,0.03148144249210705
2021-06-24,SM,041510.KQ,56200.0,57400.0,54200.0,56500.0,53771.78515625,868888,0.014362670188773352
2021-06-25,SM,041510.KQ,56500.0,56500.0,53700.0,54000.0,51392.50390625,909714,-0.044247763824211694
2021-06-28,SM,041510.KQ,54000.0,55700.0,53100.0,55100.0,52439.38671875,634242,0.020370340670883058
2021-06-29,SM,041510.KQ,54700.0,59400.0,54500.0,59200.0,56341.41015625,1411127,0.0744101653672622
2021-06-30,SM,041510.KQ,59100.0,59500.0,57700.0,58800.0,55960.72265625,688238,-0.006756797512597723
2021-07-01,SM,041510.KQ,58800.0,59600.0,57900.0,58700.0,55865.5546875,404597,-0.0017006207967432685
2021-07-02,SM,041510.KQ,58700.0,61900.0,57900.0,60800.0,57864.15625,997740,0.03577520305096327
2021-07-05,SM,041510.KQ,60200.0,63000.0,60100.0,61300.0,58340.0078125,640205,0.008223598049958536
2021-07-06,SM,041510.KQ,61400.0,61800.0,60200.0,60300.0,57388.296875,362759,-0.01631317809484567
2021-07-07,SM,041510.KQ,61600.0,62100.0,59000.0,59800.0,56912.44140625,641217,-0.008291855563974715
2021-07-08,SM,041510.KQ,59200.0,60000.0,57100.0,58500.0,55675.2109375,933131,-0.021739191610468
2021-07-09,SM,041510.KQ,57900.0,60000.0,57100.0,59800.0,56912.44140625,549136,0.022222286147041137
2021-07-12,SM,041510.KQ,59300.0,63000.0,58800.0,62300.0,59291.72265625,606341,0.041805995160466125
2021-07-13,SM,041510.KQ,62700.0,67500.0,62600.0,65400.0,62242.02734375,1152917,0.049759132562309016
2021-07-14,SM,041510.KQ,65800.0,67000.0,64700.0,65400.0,62242.02734375,515154,0.0
2021-07-15,SM,041510.KQ,66000.0,66500.0,64000.0,64400.0,61290.3203125,466253,-0.01529042468353281
2021-07-16,SM,041510.KQ,64400.0,65500.0,63300.0,64000.0,60909.6328125,342954,-0.00621121733511909
2021-07-19,SM,041510.KQ,64000.0,64100.0,61400.0,62300.0,59291.72265625,455946,-0.026562467733641792
2021-07-20,SM,041510.KQ,61500.0,64000.0,59900.0,60800.0,57864.15625,591495,-0.024076993251258116
2021-07-21,SM,041510.KQ,62000.0,63800.0,60700.0,60800.0,57864.15625,424627,0.0
2021-07-22,SM,041510.KQ,61000.0,64500.0,60900.0,62600.0,59577.234375,916383,0.029605169003047438
2021-07-23,SM,041510.KQ,62600.0,64200.0,61400.0,63500.0,60433.78125,458594,0.014377083528392731
2021-07-26,SM,041510.KQ,63600.0,65200.0,62000.0,63800.0,60719.29296875,553498,0.004724372906088847
2021-07-27,SM,041510.KQ,63900.0,64500.0,61900.0,62400.0,59386.89453125,480859,-0.021943576289429778
2021-07-28,SM,041510.KQ,62400.0,63000.0,60600.0,61400.0,58435.1796875,326416,-0.01602567117311038
2021-07-29,SM,041510.KQ,61500.0,62400.0,60700.0,61800.0,58815.8671875,239674,0.006514697174473394
2021-07-30,SM,041510.KQ,62200.0,62200.0,57900.0,58800.0,55960.72265625,664613,-0.04854378023787431
2021-08-02,SM,041510.KQ,58800.0,61400.0,58200.0,60200.0,57293.125,415259,0.023809598598905746
2021-08-03,SM,041510.KQ,63500.0,64900.0,60400.0,62700.0,59672.40234375,2324876,0.041528147465337284
2021-08-04,SM,041510.KQ,63800.0,72800.0,63200.0,71900.0,68428.171875,4234501,0.14673063572690337
2021-08-05,SM,041510.KQ,71900.0,72100.0,69000.0,69300.0,65953.7265625,1599684,-0.036161207360911996
2021-08-06,SM,041510.KQ,68600.0,70900.0,67500.0,69100.0,65763.3671875,891027,-0.002886256545634458
2021-08-09,SM,041510.KQ,68900.0,70700.0,67800.0,69700.0,66334.3984375,977888,0.008683120625072593
2021-08-10,SM,041510.KQ,68800.0,70000.0,67700.0,68400.0,65097.16796875,583397,-0.018651416126366338
2021-08-11,SM,041510.KQ,69500.0,70200.0,68300.0,68500.0,65192.34765625,474575,0.001462117177596589
2021-08-12,SM,041510.KQ,68800.0,69100.0,63800.0,66900.0,63669.60546875,1101693,-0.02335768295274787
2021-08-13,SM,041510.KQ,66100.0,67200.0,64600.0,65300.0,62146.86328125,542817,-0.02391631259985405
2021-08-17,SM,041510.KQ,65100.0,67300.0,63000.0,63800.0,60719.29296875,687704,-0.022970914976664703
2021-08-18,SM,041510.KQ,66700.0,71000.0,64600.0,68000.0,64716.484375,2340820,0.06583066453535968
2021-08-19,SM,041510.KQ,67300.0,68200.0,64800.0,65600.0,62432.37890625,665271,-0.03529402888319366
